YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST
2000,ALABAMA,CORN,"190,000","230,000","23,166,000","40,000"
2000,FLORIDA,CORN,"73,000","85,000","4,200,000","12,000"
2000,GEORGIA,CORN,"285,000","360,000","52,901,000","75,000"
2000,LOUISIANA,CORN,"377,000","380,000","75,110,000","3,000"
2000,MISSISSIPPI,CORN,"385,000","390,000","69,715,000","5,000"
2000,NORTH CAROLINA,CORN,"725,000","730,000","149,222,000","5,000"
2000,SOUTH CAROLINA,CORN,"295,000","310,000","38,220,000","15,000"
2000,TEXAS,CORN,"2,030,000","2,100,000","513,608,000","70,000"
2000,VIRGINIA,CORN,"465,000","470,000","97,324,000","5,000"
2001,ALABAMA,CORN,"175,000","180,000","37,718,000","5,000"
2001,FLORIDA,CORN,"59,000","65,000","5,090,000","6,000"
2001,GEORGIA,CORN,"260,000","265,000","68,394,000","5,000"
2001,LOUISIANA,CORN,"314,000","315,000","99,959,000","1,000"
2001,MISSISSIPPI,CORN,"398,000","400,000","99,600,000","2,000"
2001,NORTH CAROLINA,CORN,"697,000","700,000","184,375,000","3,000"
2001,SOUTH CAROLINA,CORN,"255,000","260,000","57,024,000","5,000"
2001,TEXAS,CORN,"1,550,000","1,600,000","383,712,000","50,000"
2001,VIRGINIA,CORN,"465,000","470,000","86,863,000","5,000"
2002,ALABAMA,CORN,"195,000","200,000","43,085,000","5,000"
2002,FLORIDA,CORN,"68,000","75,000","9,235,000","7,000"
2002,GEORGIA,CORN,"330,000","340,000","86,130,000","10,000"
2002,LOUISIANA,CORN,"550,000","580,000","156,816,000","30,000"
2002,MISSISSIPPI,CORN,"545,000","550,000","148,188,000","5,000"
2002,NORTH CAROLINA,CORN,"755,000","780,000","163,112,000","25,000"
2002,SOUTH CAROLINA,CORN,"275,000","320,000","32,994,000","45,000"
2002,TEXAS,CORN,"1,920,000","2,050,000","519,834,000","130,000"
2002,VIRGINIA,CORN,"480,000","500,000","60,333,000","20,000"
2003,ALABAMA,CORN,"210,000","220,000","54,705,000","10,000"
2003,FLORIDA,CORN,"67,000","75,000","8,155,000","8,000"
2003,GEORGIA,CORN,"335,000","340,000","89,523,000","5,000"
2003,LOUISIANA,CORN,"510,000","520,000","160,800,000","10,000"
2003,MISSISSIPPI,CORN,"540,000","550,000","160,717,000","10,000"
2003,NORTH CAROLINA,CORN,"735,000","740,000","193,174,000","5,000"
2003,SOUTH CAROLINA,CORN,"222,000","240,000","60,953,000","18,000"
2003,TEXAS,CORN,"1,770,000","1,830,000","504,273,000","60,000"
2003,VIRGINIA,CORN,"465,000","470,000","97,532,000","5,000"
2004,ALABAMA,CORN,"205,000","220,000","59,483,000","15,000"
2004,FLORIDA,CORN,"65,000","70,000","6,624,000","5,000"
2004,GEORGIA,CORN,"325,000","335,000","78,848,000","10,000"
2004,LOUISIANA,CORN,"415,000","420,000","135,608,000","5,000"
