YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST
2000,ALABAMA,SOYBEANS,"160,000","190,000","13,680,000","30,000"
2000,FLORIDA,SOYBEANS,"15,000","20,000","1,268,000","5,000"
2000,GEORGIA,SOYBEANS,"140,000","170,000","14,885,000","30,000"
2000,LOUISIANA,SOYBEANS,"850,000","930,000","99,144,000","80,000"
2000,MISSISSIPPI,SOYBEANS,"1,580,000","1,700,000","163,720,000","120,000"
2000,NORTH CAROLINA,SOYBEANS,"1,360,000","1,400,000","199,342,000","40,000"
2000,SOUTH CAROLINA,SOYBEANS,"430,000","450,000","48,375,000","20,000"
2000,TEXAS,SOYBEANS,"260,000","290,000","30,888,000","30,000"
2000,VIRGINIA,SOYBEANS,"480,000","490,000","80,388,000","10,000"
2001,ALABAMA,SOYBEANS,"135,000","140,000","21,735,000","5,000"
2001,FLORIDA,SOYBEANS,"9,000","10,000","1,096,000","1,000"
2001,GEORGIA,SOYBEANS,"155,000","165,000","17,531,000","10,000"
2001,LOUISIANA,SOYBEANS,"610,000","640,000","88,371,000","30,000"
2001,MISSISSIPPI,SOYBEANS,"1,120,000","1,160,000","162,254,000","40,000"
2001,NORTH CAROLINA,SOYBEANS,"1,350,000","1,380,000","185,328,000","30,000"
2001,SOUTH CAROLINA,SOYBEANS,"420,000","440,000","39,249,000","20,000"
2001,TEXAS,SOYBEANS,"225,000","260,000","26,910,000","35,000"
2001,VIRGINIA,SOYBEANS,"480,000","500,000","73,272,000","20,000"
2002,ALABAMA,SOYBEANS,"155,000","170,000","20,646,000","15,000"
2002,FLORIDA,SOYBEANS,"9,000","10,000","1,589,000","1,000"
2002,GEORGIA,SOYBEANS,"140,000","160,000","17,549,000","20,000"
2002,LOUISIANA,SOYBEANS,"660,000","800,000","116,582,000","140,000"
2002,MISSISSIPPI,SOYBEANS,"1,370,000","1,440,000","241,997,000","70,000"
2002,NORTH CAROLINA,SOYBEANS,"1,290,000","1,370,000","174,305,000","80,000"
2002,SOUTH CAROLINA,SOYBEANS,"415,000","435,000","39,508,000","20,000"
2002,TEXAS,SOYBEANS,"205,000","230,000","29,274,000","25,000"
2002,VIRGINIA,SOYBEANS,"460,000","490,000","58,613,000","30,000"
2003,ALABAMA,SOYBEANS,"160,000","170,000","41,760,000","10,000"
2003,FLORIDA,SOYBEANS,"12,000","13,000","2,484,000","1,000"
2003,GEORGIA,SOYBEANS,"180,000","190,000","45,716,000","10,000"
2003,LOUISIANA,SOYBEANS,"740,000","760,000","171,088,000","20,000"
2003,MISSISSIPPI,SOYBEANS,"1,430,000","1,440,000","368,640,000","10,000"
2003,NORTH CAROLINA,SOYBEANS,"1,400,000","1,450,000","306,180,000","50,000"
2003,SOUTH CAROLINA,SOYBEANS,"420,000","430,000","89,376,000","10,000"
2003,TEXAS,SOYBEANS,"185,000","200,000","37,555,000","15,000"
2003,VIRGINIA,SOYBEANS,"480,000","500,000","125,174,000","20,000"
2004,ALABAMA,SOYBEANS,"190,000","210,000","41,563,000","20,000"
2004,FLORIDA,SOYBEANS,"17,000","19,000","3,237,000","2,000"
2004,GEORGIA,SOYBEANS,"270,000","280,000","47,709,000","10,000"
2004,LOUISIANA,SOYBEANS,"990,000","1,100,000","205,494,000","110,000"
2004,MISSISSIPPI,SOYBEANS,"1,640,000","1,670,000","381,300,000","30,000"
2004,NORTH CAROLINA,SOYBEANS,"1,500,000","1,530,000","283,560,000","30,000"
2004,SOUTH CAROLINA,SOYBEANS,"530,000","540,000","80,136,000","10,000"
2004,TEXAS,SOYBEANS,"270,000","290,000","50,544,000","20,000"
2004,VIRGINIA,SOYBEANS,"530,000","540,000","109,964,000","10,000"
2005,ALABAMA,SOYBEANS,"145,000","150,000","28,471,000","5,000"
2005,FLORIDA,SOYBEANS,"8,000","9,000","1,382,000","1,000"
2005,GEORGIA,SOYBEANS,"175,000","180,000","25,025,000","5,000"
2005,LOUISIANA,SOYBEANS,"850,000","880,000","172,533,000","30,000"
2005,MISSISSIPPI,SOYBEANS,"1,590,000","1,610,000","343,567,000","20,000"
2005,NORTH CAROLINA,SOYBEANS,"1,460,000","1,490,000","222,329,000","30,000"
2005,SOUTH CAROLINA,SOYBEANS,"420,000","430,000","47,786,000","10,000"
2005,TEXAS,SOYBEANS,"230,000","260,000","32,591,000","30,000"
2005,VIRGINIA,SOYBEANS,"510,000","530,000","86,019,000","20,000"
2006,ALABAMA,SOYBEANS,"150,000","160,000","20,550,000","10,000"
2006,FLORIDA,SOYBEANS,"5,000","7,000","844,000","2,000"
2006,GEORGIA,SOYBEANS,"140,000","155,000","23,975,000","15,000"
2006,LOUISIANA,SOYBEANS,"840,000","870,000","179,626,000","30,000"
2006,MISSISSIPPI,SOYBEANS,"1,650,000","1,670,000","267,267,000","20,000"
2006,NORTH CAROLINA,SOYBEANS,"1,360,000","1,370,000","276,352,000","10,000"
2006,SOUTH CAROLINA,SOYBEANS,"390,000","400,000","76,908,000","10,000"
2006,TEXAS,SOYBEANS,"155,000","225,000","20,088,000","70,000"
2006,VIRGINIA,SOYBEANS,"510,000","520,000","103,397,000","10,000"
2007,ALABAMA,SOYBEANS,"185,000","190,000","44,289,000","5,000"
2007,FLORIDA,SOYBEANS,"12,000","14,000","2,563,000","2,000"
2007,GEORGIA,SOYBEANS,"285,000","295,000","101,745,000","10,000"
