YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,PRODUCTION in BU,YIELD in BU / ACRE,PRODUCTION in TONS,YIELD in TONS / ACRE,AREA LOST IN ACRES,PERCENT AREA LOST
2000,ALABAMA,CORN,"190,000","230,000","23,166,000","10,725,000",65,"225,000",9,"40,000",17
2000,FLORIDA,CORN,"73,000","85,000","4,200,000","1,875,000",75,"768,000",16,"12,000",14
2000,GEORGIA,CORN,"285,000","360,000","52,901,000","25,680,000",107,"675,000",15,"75,000",21
2000,LOUISIANA,CORN,"377,000","380,000","75,110,000","42,920,000",116,"70,000",10,"3,000",1
2000,MISSISSIPPI,CORN,"385,000","390,000","69,715,000","36,500,000",100,"220,000",11,"5,000",1
2000,NORTH CAROLINA,CORN,"725,000","730,000","149,222,000","74,240,000",116,"1,275,000",15,"5,000",1
2000,SOUTH CAROLINA,CORN,"295,000","310,000","38,220,000","18,200,000",65,"120,000",8,"15,000",5
2000,TEXAS,CORN,"2,030,000","2,100,000","513,608,000","235,600,000",124,"2,600,000",20,"70,000",3
2000,VIRGINIA,CORN,"465,000","470,000","97,324,000","48,180,000",146,"2,565,000",19,"5,000",1
2001,ALABAMA,CORN,"175,000","180,000","37,718,000","16,050,000",107,"325,000",13,"5,000",3
2001,FLORIDA,CORN,"59,000","65,000","5,090,000","2,262,000",87,"594,000",18,"6,000",9
2001,GEORGIA,CORN,"260,000","265,000","68,394,000","29,480,000",134,"720,000",18,"5,000",2
2001,LOUISIANA,CORN,"314,000","315,000","99,959,000","45,436,000",148,"98,000",14,"1,000",0
2001,MISSISSIPPI,CORN,"398,000","400,000","99,600,000","50,050,000",130,"143,000",11,"2,000",1
2001,NORTH CAROLINA,CORN,"697,000","700,000","184,375,000","78,125,000",125,"1,368,000",19,"3,000",0
2001,SOUTH CAROLINA,CORN,"255,000","260,000","57,024,000","25,920,000",108,"300,000",20,"5,000",2
2001,TEXAS,CORN,"1,550,000","1,600,000","383,712,000","167,560,000",118,"2,210,000",17,"50,000",3
2001,VIRGINIA,CORN,"465,000","470,000","86,863,000","40,590,000",123,"2,093,000",15.5,"5,000",1
2002,ALABAMA,CORN,"195,000","200,000","43,085,000","15,840,000",88,"180,000",12,"5,000",3
2002,FLORIDA,CORN,"68,000","75,000","9,235,000","3,552,000",96,"558,000",18,"7,000",9
2002,GEORGIA,CORN,"330,000","340,000","86,130,000","31,900,000",110,"680,000",17,"10,000",3
2002,LOUISIANA,CORN,"550,000","580,000","156,816,000","65,340,000",121,"120,000",12,"30,000",5
2002,MISSISSIPPI,CORN,"545,000","550,000","148,188,000","63,600,000",120,"225,000",15,"5,000",1
2002,NORTH CAROLINA,CORN,"755,000","780,000","163,112,000","56,440,000",83,"900,000",12,"25,000",3
2002,SOUTH CAROLINA,CORN,"275,000","320,000","32,994,000","12,220,000",47,"180,000",12,"45,000",14
2002,TEXAS,CORN,"1,920,000","2,050,000","519,834,000","202,270,000",113,"2,405,000",18.5,"130,000",6
2002,VIRGINIA,CORN,"480,000","500,000","60,333,000","22,100,000",68,"1,783,000",11.5,"20,000",4
2003,ALABAMA,CORN,"210,000","220,000","54,705,000","23,180,000",122,"240,000",12,"10,000",5
2003,FLORIDA,CORN,"67,000","75,000","8,155,000","3,198,000",82,"532,000",19,"8,000",11
2003,GEORGIA,CORN,"335,000","340,000","89,523,000","36,540,000",126,"765,000",17,"5,000",1
2003,LOUISIANA,CORN,"510,000","520,000","160,800,000","67,000,000",134,"160,000",16,"10,000",2
2003,MISSISSIPPI,CORN,"540,000","550,000","160,717,000","70,490,000",133,"150,000",15,"10,000",2
2003,NORTH CAROLINA,CORN,"735,000","740,000","193,174,000","72,080,000",106,"880,000",16,"5,000",1
2003,SOUTH CAROLINA,CORN,"222,000","240,000","60,953,000","22,575,000",105,"105,000",15,"18,000",8
2003,TEXAS,CORN,"1,770,000","1,830,000","504,273,000","194,700,000",118,"2,160,000",18,"60,000",3
2003,VIRGINIA,CORN,"465,000","470,000","97,532,000","37,950,000",115,"2,363,000",17.5,"5,000",1
2004,ALABAMA,CORN,"205,000","220,000","59,483,000","23,985,000",123,"170,000",17,"15,000",7
2004,FLORIDA,CORN,"65,000","70,000","6,624,000","2,880,000",90,"561,000",17,"5,000",7
2004,GEORGIA,CORN,"325,000","335,000","78,848,000","35,840,000",128,"720,000",16,"10,000",3
2004,LOUISIANA,CORN,"415,000","420,000","135,608,000","55,350,000",135,"60,000",12,"5,000",1
2004,MISSISSIPPI,CORN,"455,000","460,000","142,204,000","58,520,000",133,"210,000",14,"5,000",1
