YEAR,MONTH,STATE,CATEGORY,MAX WINDS (kt) (GUSTS),STORM NAME
2000,September,ALABAMA,TS,61,HELENE
2001,June,ALABAMA,TS,55,ALLISON
2001,August,ALABAMA,TS,69,BARRY
2002,September,ALABAMA,TS,59,HANNA
2005,June,ALABAMA,TS,52,ARLENE
2005,October,ALABAMA,TS,52,TAMMY
2008,August,ALABAMA,TS,69,FAY
2009,August,ALABAMA,TS,57,CLAUDETTE
2000,September,FLORIDA,TS,61,HELENE
2001,August,FLORIDA,TS,69,BARRY
2002,September,FLORIDA,TS,55,EDOUARD
2002,September,FLORIDA,TS,59,HANNA
2003,September,FLORIDA,TS,50,HENRI
2004,August,FLORIDA,TS,66,BONNIE
2005,October,FLORIDA,TS,52,TAMMY
2006,June,FLORIDA,TS,52,ALBERTO
2007,June,FLORIDA,TS,50,BARRY
2008,August,FLORIDA,TS,69,FAY
2009,August,FLORIDA,TS,57,CLAUDETTE
2010,July,FLORIDA,TS,50,BONNIE
2012,May,FLORIDA,TS,63,BERYL
2012,June,FLORIDA,TS,49,DEBBY
2013,June,FLORIDA,TS,72,ANDREA
2016,June,FLORIDA,TS,46,COLIN
2016,September,FLORIDA,TS,51,JULIA
2017,August,FLORIDA,TS,49,EMILY
2000,November,FLORIDA,TS,60,LESLIE
2000,September,GEORGIA,TS,61,HELENE
2001,June,GEORGIA,TS,55,ALLISON
2002,September,GEORGIA,TS,59,HANNA
2004,August,GEORGIA,TS,66,BONNIE
2005,June,GEORGIA,TS,52,ARLENE
2005,October,GEORGIA,TS,52,TAMMY
2006,June,GEORGIA,TS,52,ALBERTO
2007,June,GEORGIA,TS,50,BARRY
2012,May,GEORGIA,TS,63,BERYL
2013,June,GEORGIA,TS,72,ANDREA
2016,June,GEORGIA,TS,46,COLIN
2016,September,GEORGIA,TS,51,JULIA
2001,June,LOUISIANA,TS,55,ALLISON
2002,August,LOUISIANA,TS,35,BERTHA
2003,July,LOUISIANA,TS,58,BILL
2004,October,LOUISIANA,TS,48,MATTHEW
2011,September,LOUISIANA,TS,49,LEE
2017,June,LOUISIANA,TS,65,CINDY
2001,June,MISSISSIPPI,TS,55,ALLISON
2001,August,MISSISSIPPI,TS,69,BARRY
2002,August,MISSISSIPPI,TS,35,BERTHA
2003,July,MISSISSIPPI,TS,58,BILL
2004,October,MISSISSIPPI,TS,48,MATTHEW
2008,August,MISSISSIPPI,TS,69,FAY
2000,September,NORTH CAROLINA,TS,61,HELENE
2001,June,NORTH CAROLINA,TS,55,ALLISON
2004,August,NORTH CAROLINA,TS,66,BONNIE
2006,June,NORTH CAROLINA,TS,52,ALBERTO
2007,September,NORTH CAROLINA,TS,53,GABRIELLE
2012,May,NORTH CAROLINA,TS,63,BERYL
2013,June,NORTH CAROLINA,TS,72,ANDREA
2015,May,NORTH CAROLINA,TS,52,ANA
2000,September,SOUTH CAROLINA,TS,61,HELENE
2001,June,SOUTH CAROLINA,TS,55,ALLISON
2004,August,SOUTH CAROLINA,TS,66,BONNIE
2005,October,SOUTH CAROLINA,TS,52,TAMMY
2006,June,SOUTH CAROLINA,TS,52,ALBERTO
2007,June,SOUTH CAROLINA,TS,50,BARRY
2012,May,SOUTH CAROLINA,TS,63,BERYL
2013,June,SOUTH CAROLINA,TS,72,ANDREA
2015,May,SOUTH CAROLINA,TS,52,ANA
2016,May,SOUTH CAROLINA,TS,35,BONNIE
2001,June,TEXAS,TS,55,ALLISON
2002,August,TEXAS,TS,35,BERTHA
2002,September,TEXAS,TS,65,FAY
2003,September,TEXAS,TS,35,GRACE
2007,August,TEXAS,TS,65,ERIN
2008,August,TEXAS,TS,62,EDOUARD
2010,September,TEXAS,TS,63,HERMINE
2011,July,TEXAS,TS,45,DON
2015,June,TEXAS,TS,57,BILL
2017,June,TEXAS,TS,65,CINDY
2015,May,VIRGINIA,TS,52,ANA
