YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST
2000,ALABAMA,CORN,"190,000","230,000","23,166,000","40,000"
2000,ALABAMA,COTTON,"530,000","590,000","137,618,000","60,000"
2000,ALABAMA,SOYBEANS,"160,000","190,000","13,680,000","30,000"
2000,ALABAMA,WHEAT,"90,000","140,000","11,421,000","50,000"
2000,FLORIDA,CORN,"73,000","85,000","4,200,000","12,000"
2000,FLORIDA,COTTON,"106,000","130,000","28,747,000","24,000"
2000,FLORIDA,SOYBEANS,"15,000","20,000","1,268,000","5,000"
2000,FLORIDA,WHEAT,"9,000","13,000","992,000","4,000"
2000,GEORGIA,CORN,"285,000","360,000","52,901,000","75,000"
2000,GEORGIA,COTTON,"1,350,000","1,500,000","443,821,000","150,000"
2000,GEORGIA,SOYBEANS,"140,000","170,000","14,885,000","30,000"
2000,GEORGIA,WHEAT,"200,000","300,000","26,460,000","100,000"
2000,LOUISIANA,CORN,"377,000","380,000","75,110,000","3,000"
2000,LOUISIANA,COTTON,"695,000","710,000","225,636,000","15,000"
2000,LOUISIANA,SOYBEANS,"850,000","930,000","99,144,000","80,000"
2000,LOUISIANA,WHEAT,"185,000","200,000","23,532,000","15,000"
2000,MISSISSIPPI,CORN,"385,000","390,000","69,715,000","5,000"
2000,MISSISSIPPI,COTTON,"1,280,000","1,300,000","414,746,000","20,000"
2000,MISSISSIPPI,SOYBEANS,"1,580,000","1,700,000","163,720,000","120,000"
2000,MISSISSIPPI,WHEAT,"235,000","250,000","32,830,000","15,000"
2000,NORTH CAROLINA,CORN,"725,000","730,000","149,222,000","5,000"
2000,NORTH CAROLINA,COTTON,"925,000","930,000","363,538,000","5,000"
2000,NORTH CAROLINA,SOYBEANS,"1,360,000","1,400,000","199,342,000","40,000"
2000,NORTH CAROLINA,WHEAT,"500,000","670,000","58,750,000","170,000"
2000,SOUTH CAROLINA,CORN,"295,000","310,000","38,220,000","15,000"
2000,SOUTH CAROLINA,COTTON,"290,000","300,000","100,056,000","10,000"
2000,SOUTH CAROLINA,SOYBEANS,"430,000","450,000","48,375,000","20,000"
2000,SOUTH CAROLINA,WHEAT,"195,000","200,000","22,932,000","5,000"
2000,TEXAS,CORN,"2,030,000","2,100,000","513,608,000","70,000"
2000,TEXAS,COTTON,"4,416,000","6,416,000","868,061,000","2,000,000"
2000,TEXAS,SOYBEANS,"260,000","290,000","30,888,000","30,000"
2000,TEXAS,WHEAT,"2,200,000","6,000,000","166,320,000","3,800,000"
2000,VIRGINIA,CORN,"465,000","470,000","97,324,000","5,000"
