YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,PRODUCTION in BU,YIELD in BU / ACRE,PRIMARY TYPE,AREA LOST IN ACRES,PERCENT AREA LOST
2000,TEXAS,WHEAT,"2,200,000","6,000,000","166,320,000","66,000,000",30,Red Hard,"3,800,000",63
2001,TEXAS,WHEAT,"3,200,000","5,600,000","302,464,000","108,800,000",34,Red Hard,"2,400,000",43
2002,TEXAS,WHEAT,"2,700,000","6,400,000","236,466,000","78,300,000",29,Red Hard,"3,700,000",58
2003,TEXAS,WHEAT,"3,450,000","6,600,000","295,596,000","96,600,000",28,Red Hard,"3,150,000",48
2004,TEXAS,WHEAT,"3,500,000","6,300,000","362,390,000","108,500,000",31,Red Hard,"2,800,000",44
2005,TEXAS,WHEAT,"3,000,000","5,500,000","330,240,000","96,000,000",32,Red Hard,"2,500,000",45
2006,TEXAS,WHEAT,"1,400,000","5,550,000","150,192,000","33,600,000",24,Red Hard,"4,150,000",75
2007,TEXAS,WHEAT,"3,800,000","6,200,000","899,840,000","140,600,000",37,Red Hard,"2,400,000",39
2008,TEXAS,WHEAT,"3,300,000","5,800,000","750,420,000","99,000,000",30,Red Hard,"2,500,000",43
2009,TEXAS,WHEAT,"2,450,000","6,400,000","322,788,000","61,250,000",25,Red Hard,"3,950,000",62
2010,TEXAS,WHEAT,"3,750,000","5,700,000","649,688,000","123,750,000",33,Red Hard,"1,950,000",34
2011,TEXAS,WHEAT,"1,900,000","5,300,000","348,650,000","47,500,000",25,Red Hard,"3,400,000",64
2012,TEXAS,WHEAT,"2,900,000","5,600,000","643,104,000","95,700,000",33,Red Hard,"2,700,000",48
2013,TEXAS,WHEAT,"2,350,000","6,300,000","484,547,000","68,150,000",29,Red Hard,"3,950,000",63
2014,TEXAS,WHEAT,"2,250,000","6,000,000","432,000,000","67,500,000",30,Red Hard,"3,750,000",63
2015,TEXAS,WHEAT,"3,550,000","6,100,000","501,615,000","106,500,000",30,Red Hard,"2,550,000",42
2016,TEXAS,WHEAT,"2,800,000","5,000,000","317,184,000","89,600,000",32,Red Hard,"2,200,000",44
2017,TEXAS,WHEAT,"2,350,000","4,700,000","255,563,000","68,150,000",29,Red Hard,"2,350,000",50
2000,ALABAMA,WHEAT,"90,000","140,000","11,421,000","4,860,000",54,Red Soft,"50,000",36
2000,FLORIDA,WHEAT,"9,000","13,000","992,000","441,000",49,Red Soft,"4,000",31
2000,GEORGIA,WHEAT,"200,000","300,000","26,460,000","10,800,000",54,Red Soft,"100,000",33
2000,MISSISSIPPI,WHEAT,"235,000","250,000","32,830,000","12,925,000",55,Red Soft,"15,000",6
2000,NORTH CAROLINA,WHEAT,"500,000","670,000","58,750,000","25,000,000",50,Red Soft,"170,000",25
2000,SOUTH CAROLINA,WHEAT,"195,000","200,000","22,932,000","9,555,000",49,Red Soft,"5,000",3
2000,VIRGINIA,WHEAT,"205,000","240,000","25,830,000","12,915,000",63,Red Soft,"35,000",15
2001,ALABAMA,WHEAT,"70,000","170,000","8,568,000","3,360,000",48,Red Soft,"100,000",59
2001,FLORIDA,WHEAT,"9,000","15,000","830,000","369,000",41,Red Soft,"6,000",40
2001,GEORGIA,WHEAT,"200,000","300,000","21,730,000","10,600,000",53,Red Soft,"100,000",33
2001,MISSISSIPPI,WHEAT,"225,000","250,000","28,665,000","11,700,000",52,Red Soft,"25,000",10
2001,NORTH CAROLINA,WHEAT,"450,000","660,000","42,120,000","17,550,000",39,Red Soft,"210,000",32
2001,SOUTH CAROLINA,WHEAT,"210,000","220,000","20,769,000","9,030,000",43,Red Soft,"10,000",5
2001,VIRGINIA,WHEAT,"170,000","200,000","23,358,000","10,200,000",60,Red Soft,"30,000",15
2002,ALABAMA,WHEAT,"60,000","150,000","7,440,000","2,400,000",40,Red Soft,"90,000",60
2002,FLORIDA,WHEAT,"7,000","19,000","588,000","245,000",35,Red Soft,"12,000",63
2002,GEORGIA,WHEAT,"190,000","330,000","19,950,000","7,980,000",42,Red Soft,"140,000",42
2002,MISSISSIPPI,WHEAT,"180,000","230,000","19,440,000","7,200,000",40,Red Soft,"50,000",22
2002,NORTH CAROLINA,WHEAT,"430,000","600,000","49,665,000","18,060,000",42,Red Soft,"170,000",28
2002,SOUTH CAROLINA,WHEAT,"170,000","200,000","16,354,000","6,290,000",37,Red Soft,"30,000",15
2002,VIRGINIA,WHEAT,"170,000","230,000","29,243,000","10,370,000",61,Red Soft,"60,000",26
2003,ALABAMA,WHEAT,"75,000","150,000","9,840,000","3,075,000",41,Red Soft,"75,000",50
2003,FLORIDA,WHEAT,"12,000","20,000","1,476,000","492,000",41,Red Soft,"8,000",40
2003,GEORGIA,WHEAT,"230,000","380,000","32,269,000","10,580,000",46,Red Soft,"150,000",39
2003,MISSISSIPPI,WHEAT,"125,000","150,000","20,458,000","6,125,000",49,Red Soft,"25,000",17
2003,NORTH CAROLINA,WHEAT,"410,000","530,000","42,066,000","14,760,000",36,Red Soft,"120,000",23
2003,SOUTH CAROLINA,WHEAT,"185,000","200,000","21,645,000","7,215,000",39,Red Soft,"15,000",8
