YEAR,LOCATION,STATE ANSI,ASD CODE,COUNTY ANSI,REFERENCE PERIOD,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE,PRODUCTION in $,PRICE RECEIVED in $ / BU
2000,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"160,000","190,000","2,880,000",18,"13,680,000", 
2000,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"15,000","20,000","285,000",19,"1,268,000", 
2000,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"140,000","170,000","3,360,000",24,"14,885,000", 
2000,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"850,000","930,000","20,400,000",24,"99,144,000", 
2000,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,580,000","1,700,000","34,760,000",22,"163,720,000", 
2000,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,360,000","1,400,000","44,200,000",32.5,"199,342,000", 
2000,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"430,000","450,000","10,750,000",25,"48,375,000", 
2000,TEXAS,48,  ,   ,YEAR,SOYBEANS,"260,000","290,000","7,020,000",27,"30,888,000", 
2000,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"480,000","490,000","18,480,000",38.5,"80,388,000", 
2001,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"135,000","140,000","4,725,000",35,"21,735,000", 
2001,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"9,000","10,000","261,000",29,"1,096,000", 
2001,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"155,000","165,000","4,030,000",26,"17,531,000", 
2001,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"610,000","640,000","20,130,000",33,"88,371,000", 
2001,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,120,000","1,160,000","36,960,000",33,"162,254,000", 
2001,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,350,000","1,380,000","43,200,000",32,"185,328,000", 
2001,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"420,000","440,000","8,820,000",21,"39,249,000", 
2001,TEXAS,48,  ,   ,YEAR,SOYBEANS,"225,000","260,000","5,850,000",26,"26,910,000", 
2001,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"480,000","500,000","17,040,000",35.5,"73,272,000", 
2002,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"155,000","170,000","3,720,000",24,"20,646,000", 
2002,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"9,000","10,000","297,000",33,"1,589,000", 
2002,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"140,000","160,000","3,220,000",23,"17,549,000", 
2002,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"660,000","800,000","21,120,000",32,"116,582,000", 
2002,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,370,000","1,440,000","43,840,000",32,"241,997,000", 
2002,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,290,000","1,370,000","30,960,000",24,"174,305,000", 
2002,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"415,000","435,000","7,055,000",17,"39,508,000", 
2002,TEXAS,48,  ,   ,YEAR,SOYBEANS,"205,000","230,000","5,740,000",28,"29,274,000", 
2002,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"460,000","490,000","10,580,000",23,"58,613,000", 
2003,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"160,000","170,000","5,760,000",36,"41,760,000", 
2003,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"12,000","13,000","360,000",30,"2,484,000", 
2003,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"180,000","190,000","6,120,000",34,"45,716,000", 
2003,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"740,000","760,000","25,160,000",34,"171,088,000", 
2003,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,430,000","1,440,000","55,770,000",39,"368,640,000", 
2003,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,400,000","1,450,000","42,000,000",30,"306,180,000", 
2003,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"420,000","430,000","11,760,000",28,"89,376,000", 
2003,TEXAS,48,  ,   ,YEAR,SOYBEANS,"185,000","200,000","5,365,000",29,"37,555,000", 
2003,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"480,000","500,000","16,320,000",34,"125,174,000", 
2004,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"190,000","210,000","6,650,000",35,"41,563,000", 
2004,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"17,000","19,000","578,000",34,"3,237,000", 
2004,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"270,000","280,000","8,370,000",31,"47,709,000", 
2004,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"990,000","1,100,000","32,670,000",33,"205,494,000", 
2004,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,640,000","1,670,000","61,500,000",37.5,"381,300,000", 
2004,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,500,000","1,530,000","51,000,000",34,"283,560,000", 
2004,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"530,000","540,000","14,310,000",27,"80,136,000", 
2004,TEXAS,48,  ,   ,YEAR,SOYBEANS,"270,000","290,000","8,640,000",32,"50,544,000", 
2004,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"530,000","540,000","20,670,000",39,"109,964,000", 
2005,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"145,000","150,000","4,785,000",33,"28,471,000", 
2005,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"8,000","9,000","256,000",32,"1,382,000", 
2005,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"175,000","180,000","4,550,000",26,"25,025,000", 
2005,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"850,000","880,000","28,900,000",34,"172,533,000", 
2005,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,590,000","1,610,000","58,035,000",36.5,"343,567,000", 
2005,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,460,000","1,490,000","39,420,000",27,"222,329,000", 
2005,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"420,000","430,000","8,610,000",20.5,"47,786,000", 
2005,TEXAS,48,  ,   ,YEAR,SOYBEANS,"230,000","260,000","5,980,000",26,"32,591,000", 
2005,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"510,000","530,000","15,555,000",30.5,"86,019,000", 
2006,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"150,000","160,000","3,000,000",20,"20,550,000", 
2006,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"5,000","7,000","135,000",27,"844,000", 
2006,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"140,000","155,000","3,500,000",25,"23,975,000", 
2006,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"840,000","870,000","30,240,000",36,"179,626,000", 
2006,MISSISSIPPI,28,  ,   ,YEAR,SOYBEANS,"1,650,000","1,670,000","42,900,000",26,"267,267,000", 
2006,NORTH CAROLINA,37,  ,   ,YEAR,SOYBEANS,"1,360,000","1,370,000","43,520,000",32,"276,352,000", 
2006,SOUTH CAROLINA,45,  ,   ,YEAR,SOYBEANS,"390,000","400,000","11,310,000",29,"76,908,000", 
2006,TEXAS,48,  ,   ,YEAR,SOYBEANS,"155,000","225,000","3,720,000",24,"20,088,000", 
2006,VIRGINIA,51,  ,   ,YEAR,SOYBEANS,"510,000","520,000","15,810,000",31,"103,397,000", 
2007,ALABAMA,1,  ,   ,YEAR,SOYBEANS,"185,000","190,000","3,885,000",21,"44,289,000", 
2007,FLORIDA,12,  ,   ,YEAR,SOYBEANS,"12,000","14,000","288,000",24,"2,563,000", 
2007,GEORGIA,13,  ,   ,YEAR,SOYBEANS,"285,000","295,000","8,550,000",30,"101,745,000", 
2007,LOUISIANA,22,  ,   ,YEAR,SOYBEANS,"600,000","615,000","25,800,000",43,"217,494,000", 
