YEAR,LOCATION,COMMODITY,"AREA HARVESTED, WINTER in ACRES",AREA HARVESTED in ACRES,AREA PLANTED in ACRES,"AREA PLANTED, WINTER in ACRES","PRODUCTION, WINTER in BU","YIELD, WINTER in BU / ACRE",PRODUCTION in $,"PRODUCTION, WINTER in $",PRODUCTION in BU,"PRODUCTION, WINTER, RED, SOFT in PCT BY TYPE",YIELD in BU / ACRE,"PRODUCTION, WINTER, WHITE, SOFT in PCT BY TYPE","PRODUCTION, WINTER, RED, HARD in PCT BY TYPE","PRODUCTION, WINTER, WHITE, HARD in PCT BY TYPE"
2000,ALABAMA,WHEAT,"90,000","90,000","140,000","140,000","4,860,000",54,"11,421,000","11,421,000","4,860,000",100,54, , , 
2000,FLORIDA,WHEAT,"9,000","9,000","13,000","13,000","441,000",49,"992,000","992,000","441,000",100,49, , , 
2000,GEORGIA,WHEAT,"200,000","200,000","300,000","300,000","10,800,000",54,"26,460,000","26,460,000","10,800,000",100,54, , , 
2000,LOUISIANA,WHEAT,"185,000","185,000","200,000","200,000","9,805,000",53,"23,532,000","23,532,000","9,805,000",98,53, ,2, 
2000,MISSISSIPPI,WHEAT,"235,000","235,000","250,000","250,000","12,925,000",55,"32,830,000","32,830,000","12,925,000",100,55, , , 
2000,NORTH CAROLINA,WHEAT,"500,000","500,000","670,000","670,000","25,000,000",50,"58,750,000","58,750,000","25,000,000",100,50, , , 
2000,SOUTH CAROLINA,WHEAT,"195,000","195,000","200,000","200,000","9,555,000",49,"22,932,000","22,932,000","9,555,000",100,49, , , 
2000,TEXAS,WHEAT,"2,200,000","2,200,000","6,000,000","6,000,000","66,000,000",30,"166,320,000","166,320,000","66,000,000",6,30, ,94, 
2000,VIRGINIA,WHEAT,"205,000","205,000","240,000","240,000","12,915,000",63,"25,830,000","25,830,000","12,915,000",100,63, , , 
2001,ALABAMA,WHEAT,"70,000","70,000","170,000","170,000","3,360,000",48,"8,568,000","8,568,000","3,360,000",100,48, , , 
2001,FLORIDA,WHEAT,"9,000","9,000","15,000","15,000","369,000",41,"830,000","830,000","369,000",100,41, , , 
2001,GEORGIA,WHEAT,"200,000","200,000","300,000","300,000","10,600,000",53,"21,730,000","21,730,000","10,600,000",100,53, , , 
2001,LOUISIANA,WHEAT,"160,000","160,000","175,000","175,000","8,000,000",50,"22,000,000","22,000,000","8,000,000",96,50, ,4, 
2001,MISSISSIPPI,WHEAT,"225,000","225,000","250,000","250,000","11,700,000",52,"28,665,000","28,665,000","11,700,000",100,52, , , 
2001,NORTH CAROLINA,WHEAT,"450,000","450,000","660,000","660,000","17,550,000",39,"42,120,000","42,120,000","17,550,000",100,39, , , 
2001,SOUTH CAROLINA,WHEAT,"210,000","210,000","220,000","220,000","9,030,000",43,"20,769,000","20,769,000","9,030,000",100,43, , , 
2001,TEXAS,WHEAT,"3,200,000","3,200,000","5,600,000","5,600,000","108,800,000",34,"302,464,000","302,464,000","108,800,000",8,34, ,92, 
2001,VIRGINIA,WHEAT,"170,000","170,000","200,000","200,000","10,200,000",60,"23,358,000","23,358,000","10,200,000",100,60, , , 
2002,ALABAMA,WHEAT,"60,000","60,000","150,000","150,000","2,400,000",40,"7,440,000","7,440,000","2,400,000",100,40, , , 
2002,FLORIDA,WHEAT,"7,000","7,000","19,000","19,000","245,000",35,"588,000","588,000","245,000",100,35, , , 
2002,GEORGIA,WHEAT,"190,000","190,000","330,000","330,000","7,980,000",42,"19,950,000","19,950,000","7,980,000",100,42, , , 
2002,LOUISIANA,WHEAT,"220,000","220,000","230,000","230,000","8,800,000",40,"26,400,000","26,400,000","8,800,000",96,40, ,4, 
2002,MISSISSIPPI,WHEAT,"180,000","180,000","230,000","230,000","7,200,000",40,"19,440,000","19,440,000","7,200,000",100,40, , , 
2002,NORTH CAROLINA,WHEAT,"430,000","430,000","600,000","600,000","18,060,000",42,"49,665,000","49,665,000","18,060,000",100,42, , , 
2002,SOUTH CAROLINA,WHEAT,"170,000","170,000","200,000","200,000","6,290,000",37,"16,354,000","16,354,000","6,290,000",100,37, , , 
2002,TEXAS,WHEAT,"2,700,000","2,700,000","6,400,000","6,400,000","78,300,000",29,"236,466,000","236,466,000","78,300,000",8,29, ,92, 
2002,VIRGINIA,WHEAT,"170,000","170,000","230,000","230,000","10,370,000",61,"29,243,000","29,243,000","10,370,000",100,61, , , 
2003,ALABAMA,WHEAT,"75,000","75,000","150,000","150,000","3,075,000",41,"9,840,000","9,840,000","3,075,000",100,41, , , 
2003,FLORIDA,WHEAT,"12,000","12,000","20,000","20,000","492,000",41,"1,476,000","1,476,000","492,000",100,41, , , 
2003,GEORGIA,WHEAT,"230,000","230,000","380,000","380,000","10,580,000",46,"32,269,000","32,269,000","10,580,000",100,46, , , 
2003,LOUISIANA,WHEAT,"140,000","140,000","155,000","155,000","5,740,000",41,"18,942,000","18,942,000","5,740,000",96,41, ,4, 
2003,MISSISSIPPI,WHEAT,"125,000","125,000","150,000","150,000","6,125,000",49,"20,458,000","20,458,000","6,125,000",100,49, , , 
2003,NORTH CAROLINA,WHEAT,"410,000","410,000","530,000","530,000","14,760,000",36,"42,066,000","42,066,000","14,760,000",100,36, , , 
2003,SOUTH CAROLINA,WHEAT,"185,000","185,000","200,000","200,000","7,215,000",39,"21,645,000","21,645,000","7,215,000",100,39, , , 
2003,TEXAS,WHEAT,"3,450,000","3,450,000","6,600,000","6,600,000","96,600,000",28,"295,596,000","295,596,000","96,600,000",8,28, ,92, 
2003,VIRGINIA,WHEAT,"160,000","160,000","210,000","210,000","7,360,000",46,"21,933,000","21,933,000","7,360,000",100,46, , , 
2004,ALABAMA,WHEAT,"60,000","60,000","120,000","120,000","2,880,000",48,"10,224,000","10,224,000","2,880,000",100,48, , , 
2004,FLORIDA,WHEAT,"15,000","15,000","18,000","18,000","675,000",45,"2,329,000","2,329,000","675,000",100,45, , , 
2004,GEORGIA,WHEAT,"190,000","190,000","330,000","330,000","8,550,000",45,"29,498,000","29,498,000","8,550,000",100,45, , , 
2004,LOUISIANA,WHEAT,"165,000","165,000","180,000","180,000","8,250,000",50,"28,050,000","28,050,000","8,250,000",96,50, ,4, 
2004,MISSISSIPPI,WHEAT,"135,000","135,000","160,000","160,000","7,155,000",53,"24,112,000","24,112,000","7,155,000",100,53, , , 
2004,NORTH CAROLINA,WHEAT,"460,000","460,000","600,000","600,000","23,000,000",50,"71,300,000","71,300,000","23,000,000",100,50, , , 
2004,SOUTH CAROLINA,WHEAT,"180,000","180,000","190,000","190,000","7,920,000",44,"25,344,000","25,344,000","7,920,000",100,44, , , 
2004,TEXAS,WHEAT,"3,500,000","3,500,000","6,300,000","6,300,000","108,500,000",31,"362,390,000","362,390,000","108,500,000",8,31, ,92, 
2004,VIRGINIA,WHEAT,"180,000","180,000","210,000","210,000","9,900,000",55,"29,205,000","29,205,000","9,900,000",100,55, , , 
2005,ALABAMA,WHEAT,"45,000","45,000","100,000","100,000","2,250,000",50,"6,975,000","6,975,000","2,250,000",100,50, , , 
2005,FLORIDA,WHEAT,"8,000","8,000","18,000","18,000","360,000",45,"1,116,000","1,116,000","360,000",100,45, , , 
2005,GEORGIA,WHEAT,"140,000","140,000","280,000","280,000","7,280,000",52,"22,204,000","22,204,000","7,280,000",100,52, , , 
2005,LOUISIANA,WHEAT,"100,000","100,000","110,000","110,000","4,800,000",48,"15,360,000","15,360,000","4,800,000",97,48, ,3, 
2005,MISSISSIPPI,WHEAT,"65,000","65,000","70,000","70,000","3,250,000",50,"10,725,000","10,725,000","3,250,000",100,50, , , 
2005,NORTH CAROLINA,WHEAT,"435,000","435,000","560,000","560,000","24,795,000",57,"76,121,000","76,121,000","24,795,000",100,57, , , 
2005,SOUTH CAROLINA,WHEAT,"165,000","165,000","170,000","170,000","8,415,000",51,"23,562,000","23,562,000","8,415,000",100,51, , , 
2005,TEXAS,WHEAT,"3,000,000","3,000,000","5,500,000","5,500,000","96,000,000",32,"330,240,000","330,240,000","96,000,000",7,32, ,93, 
2005,VIRGINIA,WHEAT,"160,000","160,000","180,000","180,000","10,080,000",63,"29,333,000","29,333,000","10,080,000",100,63, , , 
2006,ALABAMA,WHEAT,"45,000","45,000","100,000","100,000","2,565,000",57,"10,132,000","10,132,000","2,565,000",100,57, , , 
2006,FLORIDA,WHEAT,"5,000","5,000","8,000","8,000","210,000",42,"662,000","662,000","210,000",100,42, , , 
2006,GEORGIA,WHEAT,"120,000","120,000","230,000","230,000","5,880,000",49,"21,756,000","21,756,000","5,880,000",100,49, , , 
2006,LOUISIANA,WHEAT,"105,000","105,000","115,000","115,000","5,565,000",53,"20,034,000","20,034,000","5,565,000",97,53, ,3, 
2006,MISSISSIPPI,WHEAT,"73,000","73,000","85,000","85,000","4,307,000",59,"15,161,000","15,161,000","4,307,000",100,59, , , 
2006,NORTH CAROLINA,WHEAT,"420,000","420,000","560,000","560,000","24,780,000",59,"80,783,000","80,783,000","24,780,000",100,59, , , 
2006,SOUTH CAROLINA,WHEAT,"123,000","123,000","130,000","130,000","6,150,000",50,"18,758,000","18,758,000","6,150,000",100,50, , , 
2006,TEXAS,WHEAT,"1,400,000","1,400,000","5,550,000","5,550,000","33,600,000",24,"150,192,000","150,192,000","33,600,000",7,24, ,93, 
2006,VIRGINIA,WHEAT,"155,000","155,000","190,000","190,000","10,540,000",68,"34,150,000","34,150,000","10,540,000",100,68, , , 
2007,ALABAMA,WHEAT,"76,000","76,000","120,000","120,000","3,192,000",42,"16,918,000","16,918,000","3,192,000",100,42, , , 
2007,FLORIDA,WHEAT,"9,000","9,000","13,000","13,000","495,000",55,"1,980,000","1,980,000","495,000",100,55, , , 
2007,GEORGIA,WHEAT,"230,000","230,000","360,000","360,000","9,200,000",40,"59,800,000","59,800,000","9,200,000",100,40, , , 
2007,LOUISIANA,WHEAT,"220,000","220,000","235,000","235,000","11,880,000",54,"61,776,000","61,776,000","11,880,000",97,54, ,3, 
2007,MISSISSIPPI,WHEAT,"330,000","330,000","370,000","370,000","18,480,000",56,"79,464,000","79,464,000","18,480,000",100,56, , , 
2007,NORTH CAROLINA,WHEAT,"500,000","500,000","630,000","630,000","20,000,000",40,"98,000,000","98,000,000","20,000,000",100,40, , , 
2007,SOUTH CAROLINA,WHEAT,"135,000","135,000","160,000","160,000","4,050,000",30,"18,428,000","18,428,000","4,050,000",100,30, , , 
2007,TEXAS,WHEAT,"3,800,000","3,800,000","6,200,000","6,200,000","140,600,000",37,"899,840,000","899,840,000","140,600,000",4,37, ,96, 
2007,VIRGINIA,WHEAT,"205,000","205,000","230,000","230,000","13,120,000",64,"75,834,000","75,834,000","13,120,000",100,64, , , 
