YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in $,AREA LOST,PERCENT AREA LOST
2000,ALABAMA,ALL,"970,000","1,150,000","185,885,000","180,000",16
2000,FLORIDA,ALL,"203,000","248,000","35,207,000","45,000",18
2000,GEORGIA,ALL,"1,975,000","2,330,000","538,067,000","355,000",15
2000,LOUISIANA,ALL,"2,107,000","2,220,000","423,422,000","113,000",5
2000,MISSISSIPPI,ALL,"3,480,000","3,640,000","681,011,000","160,000",4
2000,NORTH CAROLINA,ALL,"3,510,000","3,730,000","770,852,000","220,000",6
2000,SOUTH CAROLINA,ALL,"1,210,000","1,260,000","209,583,000","50,000",4
2000,TEXAS,ALL,"8,906,000","14,806,000","1,578,877,000","5,900,000",40
2000,VIRGINIA,ALL,"1,258,000","1,310,000","251,908,000","52,000",4
2001,ALABAMA,ALL,"985,000","1,100,000","190,344,000","115,000",10
2001,FLORIDA,ALL,"201,000","215,000","29,389,000","14,000",7
2001,GEORGIA,ALL,"2,095,000","2,220,000","433,729,000","125,000",6
2001,LOUISIANA,ALL,"1,939,000","2,000,000","349,796,000","61,000",3
2001,MISSISSIPPI,ALL,"3,343,000","3,430,000","595,290,000","87,000",3
2001,NORTH CAROLINA,ALL,"3,462,000","3,710,000","666,387,000","248,000",7
2001,SOUTH CAROLINA,ALL,"1,181,000","1,220,000","182,015,000","39,000",3
2001,TEXAS,ALL,"9,241,500","13,477,000","1,293,809,000","4,235,500",31
2001,VIRGINIA,ALL,"1,219,000","1,275,000","212,577,000","56,000",4
2002,ALABAMA,ALL,"950,000","1,110,000","190,187,000","160,000",14
2002,FLORIDA,ALL,"189,000","224,000","31,687,000","35,000",16
2002,GEORGIA,ALL,"2,020,000","2,280,000","459,175,000","260,000",11
2002,LOUISIANA,ALL,"1,925,000","2,130,000","455,875,000","205,000",10
2002,MISSISSIPPI,ALL,"3,245,000","3,390,000","818,297,000","145,000",4
2002,NORTH CAROLINA,ALL,"3,395,000","3,690,000","550,345,000","295,000",8
2002,SOUTH CAROLINA,ALL,"1,060,000","1,245,000","114,637,000","185,000",15
2002,TEXAS,ALL,"9,343,300","14,298,500","1,753,254,000","4,955,200",35
2002,VIRGINIA,ALL,"1,208,000","1,320,000","167,113,000","112,000",8
2003,ALABAMA,ALL,"955,000","1,065,000","340,891,000","110,000",10
2003,FLORIDA,ALL,"183,000","202,000","48,900,000","19,000",9
2003,GEORGIA,ALL,"2,035,000","2,210,000","787,342,000","175,000",8
2003,LOUISIANA,ALL,"1,900,000","1,960,000","651,043,000","60,000",3
2003,MISSISSIPPI,ALL,"3,185,000","3,250,000","1,164,445,000","65,000",2
2003,NORTH CAROLINA,ALL,"3,315,000","3,530,000","863,471,000","215,000",6
2003,SOUTH CAROLINA,ALL,"1,045,000","1,090,000","269,461,000","45,000",4
2003,TEXAS,ALL,"9,775,000","14,250,000","2,036,661,000","4,475,000",31
2003,VIRGINIA,ALL,"1,190,000","1,269,000","281,319,000","79,000",6
2004,ALABAMA,ALL,"995,000","1,100,000","269,902,000","105,000",10
2004,FLORIDA,ALL,"184,000","196,000","36,466,000","12,000",6
2004,GEORGIA,ALL,"2,065,000","2,235,000","525,231,000","170,000",8
2004,LOUISIANA,ALL,"2,060,000","2,200,000","545,019,000","140,000",6
2004,MISSISSIPPI,ALL,"3,330,000","3,400,000","1,009,309,000","70,000",2
2004,NORTH CAROLINA,ALL,"3,500,000","3,680,000","851,389,000","180,000",5
