YEAR,MONTH,STATE,CATEGORY,MAX WINDS (kt) (GUSTS),STORM NAME
2000,September,ALABAMA,TS,61,HELENE
2000,September,FLORIDA,TS,61,HELENE
2000,November,FLORIDA,TS,60,LESLIE
2000,September,GEORGIA,TS,61,HELENE
2000,September,NORTH CAROLINA,TS,61,HELENE
2000,September,SOUTH CAROLINA,TS,61,HELENE
2001,June,ALABAMA,TS,55,ALLISON
2001,August,ALABAMA,TS,69,BARRY
2001,August,FLORIDA,TS,69,BARRY
2001,June,GEORGIA,TS,55,ALLISON
2001,June,LOUISIANA,TS,55,ALLISON
2001,June,MISSISSIPPI,TS,55,ALLISON
2001,August,MISSISSIPPI,TS,69,BARRY
2001,June,NORTH CAROLINA,TS,55,ALLISON
2001,June,SOUTH CAROLINA,TS,55,ALLISON
2001,June,TEXAS,TS,55,ALLISON
2002,September,ALABAMA,TS,59,HANNA
2002,September,FLORIDA,TS,55,EDOUARD
2002,September,FLORIDA,TS,59,HANNA
2002,September,GEORGIA,TS,59,HANNA
2002,August,LOUISIANA,TS,35,BERTHA
2002,October,LOUISIANA,1,80,LILI
2002,August,MISSISSIPPI,TS,35,BERTHA
2002,August,TEXAS,TS,35,BERTHA
2002,September,TEXAS,TS,65,FAY
2003,September,FLORIDA,TS,50,HENRI
2003,July,LOUISIANA,TS,58,BILL
2003,July,MISSISSIPPI,TS,58,BILL
2003,September,NORTH CAROLINA,2,90,ISABEL
2003,July,TEXAS,1,80,CLAUDETTE
2003,September,TEXAS,TS,35,GRACE
2003,September,VIRGINIA,1,79,ISABEL
2004,September,ALABAMA,3,105,IVAN
2004,August,FLORIDA,4,130,CHARLEY
2004,August,FLORIDA,TS,66,BONNIE
2004,September,FLORIDA,2,90,FRANCES
2004,September,FLORIDA,3,105,IVAN
2004,September,FLORIDA,3,105,JEANNE
2004,August,GEORGIA,TS,66,BONNIE
2004,October,LOUISIANA,TS,48,MATTHEW
2004,October,MISSISSIPPI,TS,48,MATTHEW
2004,August,NORTH CAROLINA,1,70,ALEX
2004,August,NORTH CAROLINA,1,64,CHARLEY
2004,August,NORTH CAROLINA,TS,66,BONNIE
2004,August,SOUTH CAROLINA,1,50,CHARLEY
2004,August,SOUTH CAROLINA,1,65,GASTON
2004,August,SOUTH CAROLINA,TS,66,BONNIE
2005,June,ALABAMA,TS,52,ARLENE
2005,July,ALABAMA,1,44,DENNIS
2005,August,ALABAMA,1,73,KATRINA
2005,October,ALABAMA,TS,52,TAMMY
2005,July,FLORIDA,3,105,DENNIS
2005,August,FLORIDA,1,81,KATRINA
2005,September,FLORIDA,1,76,RITA
