YEAR,LOCATION,COMMODITY,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE,PRODUCTION in $,AREA LOST
2000,ALABAMA,SOYBEANS,"160,000","190,000","2,880,000",18,"13,680,000","30,000"
2000,FLORIDA,SOYBEANS,"15,000","20,000","285,000",19,"1,268,000","5,000"
2000,GEORGIA,SOYBEANS,"140,000","170,000","3,360,000",24,"14,885,000","30,000"
2000,LOUISIANA,SOYBEANS,"850,000","930,000","20,400,000",24,"99,144,000","80,000"
2000,MISSISSIPPI,SOYBEANS,"1,580,000","1,700,000","34,760,000",22,"163,720,000","120,000"
2000,NORTH CAROLINA,SOYBEANS,"1,360,000","1,400,000","44,200,000",32.5,"199,342,000","40,000"
2000,SOUTH CAROLINA,SOYBEANS,"430,000","450,000","10,750,000",25,"48,375,000","20,000"
2000,TEXAS,SOYBEANS,"260,000","290,000","7,020,000",27,"30,888,000","30,000"
2000,VIRGINIA,SOYBEANS,"480,000","490,000","18,480,000",38.5,"80,388,000","10,000"
2001,ALABAMA,SOYBEANS,"135,000","140,000","4,725,000",35,"21,735,000","5,000"
2001,FLORIDA,SOYBEANS,"9,000","10,000","261,000",29,"1,096,000","1,000"
2001,GEORGIA,SOYBEANS,"155,000","165,000","4,030,000",26,"17,531,000","10,000"
2001,LOUISIANA,SOYBEANS,"610,000","640,000","20,130,000",33,"88,371,000","30,000"
2001,MISSISSIPPI,SOYBEANS,"1,120,000","1,160,000","36,960,000",33,"162,254,000","40,000"
2001,NORTH CAROLINA,SOYBEANS,"1,350,000","1,380,000","43,200,000",32,"185,328,000","30,000"
2001,SOUTH CAROLINA,SOYBEANS,"420,000","440,000","8,820,000",21,"39,249,000","20,000"
2001,TEXAS,SOYBEANS,"225,000","260,000","5,850,000",26,"26,910,000","35,000"
2001,VIRGINIA,SOYBEANS,"480,000","500,000","17,040,000",35.5,"73,272,000","20,000"
2002,ALABAMA,SOYBEANS,"155,000","170,000","3,720,000",24,"20,646,000","15,000"
2002,FLORIDA,SOYBEANS,"9,000","10,000","297,000",33,"1,589,000","1,000"
2002,GEORGIA,SOYBEANS,"140,000","160,000","3,220,000",23,"17,549,000","20,000"
2002,LOUISIANA,SOYBEANS,"660,000","800,000","21,120,000",32,"116,582,000","140,000"
2002,MISSISSIPPI,SOYBEANS,"1,370,000","1,440,000","43,840,000",32,"241,997,000","70,000"
2002,NORTH CAROLINA,SOYBEANS,"1,290,000","1,370,000","30,960,000",24,"174,305,000","80,000"
2002,SOUTH CAROLINA,SOYBEANS,"415,000","435,000","7,055,000",17,"39,508,000","20,000"
2002,TEXAS,SOYBEANS,"205,000","230,000","5,740,000",28,"29,274,000","25,000"
2002,VIRGINIA,SOYBEANS,"460,000","490,000","10,580,000",23,"58,613,000","30,000"
2003,ALABAMA,SOYBEANS,"160,000","170,000","5,760,000",36,"41,760,000","10,000"
2003,FLORIDA,SOYBEANS,"12,000","13,000","360,000",30,"2,484,000","1,000"
2003,GEORGIA,SOYBEANS,"180,000","190,000","6,120,000",34,"45,716,000","10,000"
2003,LOUISIANA,SOYBEANS,"740,000","760,000","25,160,000",34,"171,088,000","20,000"
2003,MISSISSIPPI,SOYBEANS,"1,430,000","1,440,000","55,770,000",39,"368,640,000","10,000"
2003,NORTH CAROLINA,SOYBEANS,"1,400,000","1,450,000","42,000,000",30,"306,180,000","50,000"
2003,SOUTH CAROLINA,SOYBEANS,"420,000","430,000","11,760,000",28,"89,376,000","10,000"
