YEAR,MONTH,STATES AFFECTED W/CATEGORY,HIGHEST CATEGORY,MAX WINDS (kt) (GUSTS),NAME
2000,September,FL,TS,61,HELENE
2000,September,AL,TS,61,HELENE
2000,September,GA,TS,61,HELENE
2000,September,SC,TS,61,HELENE
2000,September,NC,TS,61,HELENE
2000,November,FL ,TS,60,LESLIE
2001,June,TX,TS,55,ALLISON
2001,June,LA,TS,55,ALLISON
2001,June,MS,TS,55,ALLISON
2001,June,AL,TS,55,ALLISON
2001,June,GA,TS,55,ALLISON
2001,June,SC,TS,55,ALLISON
2001,June,NC,TS,55,ALLISON
2001,August,FL,TS,69,BARRY
2001,August,AL,TS,69,BARRY
2001,August,MS,TS,69,BARRY
2002,August,TX,TS,35,BERTHA
2002,August,LA,TS,35,BERTHA
2002,August,MS,TS,35,BERTHA
2002,September,FL,TS,55,EDOUARD
2002,September,TX,TS,65,FAY
2002,September,AL,TS,59,HANNA
2002,September,GA,TS,59,HANNA
2002,September,FL,TS,59,HANNA
2003,July,LA,TS,58,BILL
2003,July,MS,TS,58,BILL
2003,September,TX,TS,35,GRACE
2003,September,FL,TS,50,HENRI
2004,August,FL,TS,66,BONNIE
2004,August,GA,TS,66,BONNIE
2004,August,SC,TS,66,BONNIE
2004,August,NC,TS,66,BONNIE
2004,October,LA,TS,48,MATTHEW
2004,October,MS,TS,48,MATTHEW
2005,June,AL,TS,52,ARLENE
2005,June,GA,TS,52,ARLENE
2005,October,FL,TS,52,TAMMY
2005,October,GA,TS,52,TAMMY
2005,October,AL,TS,52,TAMMY
2005,October,SC,TS,52,TAMMY
2006,June,FL,TS,52,ALBERTO
2006,June,GA,TS,52,ALBERTO
2006,June,SC,TS,52,ALBERTO
2006,June,NC,TS,52,ALBERTO
2007,June,FL,TS,50,BARRY
2007,June,GA,TS,50,BARRY
2007,June,SC,TS,50,BARRY
2007,August,TX,TS,65,ERIN
2007,September,NC,TS,53,GABRIELLE
2008,August,TX,TS,62,EDOUARD
2008,August,FL,TS,69,FAY
2008,August,AL,TS,69,FAY
2008,August,MS,TS,69,FAY
2009,August,FL,TS,57,CLAUDETTE
2009,August,AL,TS,57,CLAUDETTE
2010,July,FL,TS,50,BONNIE
2010,September,TX,TS,63,HERMINE
2011,July,TX,TS,45,DON
2011,September,LA,TS,49,LEE
2012,May,FL,TS,63,BERYL
2012,May,GA,TS,63,BERYL
2012,May,NC,TS,63,BERYL
2012,May,SC,TS,63,BERYL
2012,June,FL,TS,49,DEBBY
2013,June,FL,TS,72,ANDREA
2013,June,GA,TS,72,ANDREA
2013,June,SC,TS,72,ANDREA
2013,June,NC,TS,72,ANDREA
2015,May,SC,TS,52,ANA
2015,May,NC,TS,52,ANA
2015,May,VA,TS,52,ANA
2015,June,TX,TS,57,BILL
2016,May,SC,TS,35,BONNIE
2016,June,FL,TS,46,COLIN
2016,June,GA,TS,46,COLIN
2016,September,FL,TS,51,JULIA
2016,September,GA,TS,51,JULIA
2017,June,LA,TS,65,CINDY
2017,June,TX,TS,65,CINDY
2017,August,FL,TS,49,EMILY
